SampleID,Treatment,Bottle,Timepoint (h),Well
ABC_109,Dying,1,0,A1
ABC_110,Dying,2,0,A2
ABC_111,Dying,3,0,A3
ABC_113,Bleaching,5,0,A4
ABC_114,Bleaching,6,0,A5
ABC_115,HotWaterControl,7,0,A6
ABC_116,HotWaterControl,8,0,A7
ABC_117,HotWaterControl,9,0,A8
ABC_118,Recovering,10,0,A9
ABC_119,Recovering,11,0,A10
ABC_120,Recovering,12,0,A11
ABC_121,Coral Control,13,0,A12
ABC_122,Coral Control,14,0,B1
ABC_123,Coral Control,15,0,B2
ABC_124,Water Control,16,0,B3
ABC_125,Water Control,17,0,B4
ABC_126,Water Control,18,0,B5
ABC_127,Dying,1,2,B6
ABC_128,Dying,2,2,B7
ABC_129,Dying,3,2,B8
ABC_131,Bleaching,5,2,B9
ABC_132,Bleaching,6,2,B10
ABC_133,HotWaterControl,7,2,B11
ABC_134,HotWaterControl,8,2,B12
ABC_135,HotWaterControl,9,2,C1
ABC_136,Recovering,10,2,C2
ABC_137,Recovering,11,2,C3
ABC_138,Recovering,12,2,C4
ABC_139,Coral Control,13,2,C5
ABC_140,Coral Control,14,2,C6
ABC_141,Coral Control,15,2,C7
ABC_142,Water Control,16,2,C8
ABC_143,Water Control,17,2,C9
ABC_144,Water Control,18,2,C10
ABC_145,Dying,1,8,C11
ABC_146,Dying,2,8,C12
ABC_147,Dying,3,8,D1
ABC_149,Bleaching,5,8,D2
ABC_150,Bleaching,6,8,D3
ABC_151,HotWaterControl,7,8,D4
ABC_152,HotWaterControl,8,8,D5
ABC_153,HotWaterControl,9,8,D6
ABC_154,Recovering,10,8,D7
ABC_155,Recovering,11,8,D8
ABC_156,Recovering,12,8,D9
ABC_157,Coral Control,13,8,D10
ABC_158,Coral Control,14,8,D11
ABC_159,Coral Control,15,8,D12
ABC_160,Water Control,16,8,E1
ABC_161,Water Control,17,8,E2
ABC_162,Water Control,18,8,E3
ABC_163,Dying,1,12,E4
ABC_164,Dying,2,12,E5
ABC_165,Dying,3,12,E6
ABC_167,Bleaching,5,12,E7
ABC_168,Bleaching,6,12,E8
ABC_169,HotWaterControl,7,12,E9
ABC_170,HotWaterControl,8,12,E10
ABC_171,HotWaterControl,9,12,E11
ABC_172,Recovering,10,12,E12
ABC_173,Recovering,11,12,F1
ABC_174,Recovering,12,12,F2
ABC_175,Coral Control,13,12,F3
ABC_176,Coral Control,14,12,F4
ABC_177,Coral Control,15,12,F5
ABC_178,Water Control,16,12,F6
ABC_179,Water Control,17,12,F7
ABC_180,Water Control,18,12,F8
ABC_181,Dying,1,16,F9
ABC_182,Dying,2,16,F10
ABC_183,Dying,3,16,F11
ABC_185,Bleaching,5,16,F12
ABC_186,Bleaching,6,16,G1
ABC_187,HotWaterControl,7,16,G2
ABC_188,HotWaterControl,8,16,G3
ABC_189,HotWaterControl,9,16,G4
ABC_190,Recovering,10,16,G5
ABC_191,Recovering,11,16,G6
ABC_192,Recovering,12,16,G7
ABC_193,Coral Control,13,16,G8
ABC_194,Coral Control,14,16,G9
ABC_195,Coral Control,15,16,G10
ABC_196,Water Control,16,16,G11
ABC_197,Water Control,17,16,G12
ABC_198,Water Control,18,16,H1
ABC_199,Dying,1,20,H2
ABC_200,Dying,2,20,H3
ABC_201,Dying,3,20,H4
ABC_203,Bleaching,5,20,H5
Q,,,,H6
Q+SYBR,,,,H7
FOCUS,,,,H8
FOCUS+SYBR,,,,H9
IS,,,,H10
IS,,,,H11
IS,,,,H12
