,PLANC_aquaria_name,SampleID,X,Sample.Name,Concentration,Treatment.x,Bottle,Timepoint..h.,Temp,origin,Treatment.y,Sample.Type,Timepoint.x,Hours,Bottle_NR,Notes,sym_total,sym_total..no.outliers.,SA,SA_no_outliers,sym.SA.normalized.no.outliers,sym.SA.normalized,Aquaria_timepoint_heat,Aquaria,Timepoint.y,Heat,Coral_Health,abcDOM_Treatment,Coral_Health_Heat,Timepoint_Heat,sym.group1,log10.sym.SA.normalized.no.outliers,sym.group1.1,sym.group2,sym.group3,bleaching_trajectory,Collection_Bleaching_Level1,Bleaching_Susceptability,Treatment
1,,ABC_152,44,D5,312.47,HotWaterControl,8,8,Hot,control,Hot Water Control,FCM,T8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
2,,ABC_153,45,D6,254.78,HotWaterControl,9,8,Hot,control,Hot Water Control,FCM,T8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
3,,ABC_196,75,G11,771.28,Water Control,16,16,Ambient,control,Water Control,FCM,T16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
4,,ABC_197,76,G12,687.69,Water Control,17,16,Ambient,control,Water Control,FCM,T16,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
5,,ABC_198,85,H1,1608.8,Water Control,18,16,Ambient,control,Water Control,FCM,T16,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
6,,ABC_115,9,A6,125.59,HotWaterControl,7,0,Hot,control,Hot Water Control,FCM,T0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
7,,ABC_116,10,A7,119.71,HotWaterControl,8,0,Hot,control,Hot Water Control,FCM,T0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
8,,ABC_117,11,A8,134.71,HotWaterControl,9,0,Hot,control,Hot Water Control,FCM,T0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
9,,ABC_160,49,E1,287.49,Water Control,16,8,Ambient,control,Water Control,FCM,T8,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
10,,ABC_161,53,E2,272.84,Water Control,17,8,Ambient,control,Water Control,FCM,T8,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
